Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB;32119;80295;b1;3;8;SAO PAULO;SP;03/2020;64.174;937.815;5.729.742;5.102.931;-195.219;4.907.711;0;0;0;0;0;4.145.792;253.624;1.469.413;17.508.272;0;17.508.272
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;;;81311;b4;1;5;PORTO ALEGRE;RS;03/2020;327;0;2.921.055;13.461.899;-338.621;13.123.278;0;0;0;0;0;547.886;71.912;53.959;16.718.417;0;16.718.417
PAGSEGURO INTERNET S.A.;8561701;;;84813;n4;2;41;SAO PAULO;SP;03/2020;593.082;531.047;874.991;0;0;0;0;0;0;0;0;741.351;8.832.124;4.102.004;15.674.600;0;15.674.600
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;2.330;1.966.601;2.803.485;2.423.323;-1.203.707;1.219.616;0;0;0;0;0;9.158.293;50.917;142.622;15.343.864;0;15.343.864
BANCO OLÉ BONSUCESSO CONSIGNADO S.A.;71371686;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;03/2020;2.364;1.499;32.127;15.035.007;-481.810;14.553.197;0;0;0;0;0;420.892;169.363;60.169;15.239.612;0;15.239.612
BANCO BRADESCO BBI S.A.;6271464;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;6;5.316.159;3.746.378;0;0;0;0;0;0;0;0;1.846.321;1.031;3.825.972;14.735.867;0;14.735.867
BANCO BRADESCO BERJ S.A.;33147315;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;102;99.116;11.926.880;0;0;0;0;0;0;0;0;2.280.400;572;357.746;14.664.816;0;14.664.816
BANCO GM S.A.;59274605;;;80848;b2;3;8;SAO PAULO;SP;03/2020;19.835;1.394.999;171.119;9.870.190;-242.518;9.627.671;253;33.969;421;-535;34.109;2.422.315;11.312;733.219;14.414.580;421;14.414.158
ITAU CORRETORA DE VALORES S.A.;61194353;ITAU;10069;80099;n2;2;15;SAO PAULO;SP;03/2020;1.047;1.882.139;501.450;0;0;0;0;0;0;0;0;11.757.059;3.994;53.188;14.198.878;0;14.198.878
BANCO ALFA DE INVESTIMENTO S.A.;60770336;ALFA;51293;80570;b2;2;13;SAO PAULO;SP;03/2020;3.605;5.717.656;3.177.112;2.035.937;-17.216;2.018.722;0;0;0;0;0;1.329.984;298.190;933.619;13.478.888;0;13.478.888
